iter	Accuracy	Logloss
102	0.7616403246	0.5542845831
103	0.7633489962	0.5532961428
104	0.7654848355	0.5523975198
105	0.7676206749	0.551087708
106	0.767193507	0.5498045193
107	0.7706108501	0.5491149692
108	0.7727466894	0.5479647074
109	0.7727466894	0.5468132624
110	0.7740281931	0.5459141136
111	0.7753096967	0.5449332061
112	0.7753096967	0.5437443184
113	0.7770183682	0.5421087566
114	0.7774455361	0.5409671435
115	0.7787270397	0.5401133249
116	0.7791542076	0.5393338591
117	0.7804357112	0.5380416543
118	0.7804357112	0.5369067305
119	0.7808628791	0.5362053728
120	0.7808628791	0.5350116855
121	0.7825715506	0.5340584936
122	0.7834258864	0.5329998404
123	0.78470739	0.5317444211
124	0.78470739	0.5309208675
125	0.7855617258	0.5303522091
126	0.7889790688	0.529219552
127	0.7894062367	0.5279697948
128	0.791542076	0.526768759
129	0.7936779154	0.5255041605
130	0.7941050833	0.5246300982
131	0.7941050833	0.5240186076
132	0.7949594191	0.5232603489
133	0.7966680906	0.5225357515
134	0.7975224263	0.5217977017
135	0.7988039299	0.5214253341
136	0.7988039299	0.5205639763
137	0.8017941051	0.5195540505
138	0.8026484408	0.5189683146
139	0.8026484408	0.5180575543
140	0.8039299445	0.5172742222
141	0.8069201196	0.5163508917
142	0.8077744554	0.5156028535
143	0.8086287911	0.5146257182
144	0.809055959	0.5137128002
145	0.8094831269	0.5127036223
146	0.8094831269	0.5116273416
147	0.8099102947	0.5112512841
148	0.8116189663	0.5101563619
149	0.8129004699	0.5095373147
150	0.8137548056	0.5084945344
151	0.815890645	0.507445291
152	0.815890645	0.506530005
153	0.8154634771	0.5053049585
154	0.815890645	0.5046679603
155	0.8171721487	0.5035656872
156	0.8188808202	0.5027755138
157	0.819307988	0.5022804375
158	0.8167449808	0.501714651
159	0.819307988	0.5004236383
160	0.8201623238	0.4993246565
161	0.8205894917	0.4983676402
162	0.8231524989	0.497612892
163	0.8240068347	0.4968033367
164	0.8265698419	0.4954129983
165	0.8274241777	0.4942607035
166	0.8274241777	0.4937147194
167	0.8295600171	0.4928023754
168	0.8295600171	0.4923808591
169	0.8316958565	0.491505878
170	0.833404528	0.4908342968
171	0.833404528	0.4899264102
172	0.8363947031	0.4890628732
173	0.8376762067	0.4883379669
174	0.8389577104	0.4875658429
175	0.8385305425	0.4865029789
176	0.8406663819	0.4849968026
177	0.8406663819	0.4844191933
178	0.8406663819	0.4837594746
179	0.8406663819	0.4833610989
180	0.8410935498	0.4823002897
181	0.8410935498	0.4815048536
182	0.8410935498	0.480511382
183	0.8423750534	0.4795001668
184	0.8428022213	0.4788694991
185	0.8432293891	0.4783766045
186	0.843656557	0.4775579298
187	0.8432293891	0.4762781275
188	0.8462195643	0.4756077115
189	0.8479282358	0.4751702811
190	0.8462195643	0.4743073524
191	0.8475010679	0.4736342878
192	0.8492097394	0.473093416
193	0.8500640752	0.4725668104
194	0.8500640752	0.4716200892
195	0.8509184109	0.4706789206
196	0.8509184109	0.470109583
197	0.8526270824	0.4695301113
198	0.8526270824	0.4689753232
199	0.8530542503	0.4681868958
